rebalancing__type,rebalancing__n_neighbors,rebalancing__k_neighbors,prototype,normalization__with_std,normalization__with_scaling,normalization__with_mean,normalization__with_centering,normalization__type,imputation__type,imputation__strategy,imputation__initial_strategy,imputation__imputation_order,features__type,features__n_components,features__k,discretization__type,discretization__threshold,discretization__strategy,discretization__n_bins,discretization__encode,classification__weights,classification__type,classification__splitter,classification__n_neurons,classification__n_neighbors,classification__n_hidden_layers,classification__min_samples_split,classification__min_samples_leaf,classification__metric,classification__max_leaf_nodes,classification__max_features,classification__max_depth,classification__criterion,balanced_accuracy__status,balanced_accuracy__balanced_accuracy
FunctionTransformer,,,features_normalization_rebalancing_discretization_imputation_classification,,False,,False,RobustScaler,SimpleImputer,constant,,,FunctionTransformer,,,FunctionTransformer,,,,,,DecisionTreeClassifier,best,,,,2,4,,3,2,2,gini,success,0.862122023420835
FunctionTransformer,,,discretization_rebalancing_imputation_normalization_features_classification,,False,,False,RobustScaler,SimpleImputer,constant,,,FunctionTransformer,,,FunctionTransformer,,,,,,DecisionTreeClassifier,best,,,,2,3,,3,2,2,gini,success,0.862122023420835
FunctionTransformer,,,imputation_discretization_normalization_rebalancing_features_classification,,False,,False,RobustScaler,SimpleImputer,most_frequent,,,FunctionTransformer,,,FunctionTransformer,,,,,,GaussianNB,,,,,,,,,,,,success,0.7747943058639153
NearMiss,3,,features_discretization_rebalancing_normalization_imputation_classification,,False,,False,RobustScaler,FunctionTransformer,,,,SelectKBest,,7,FunctionTransformer,,,,,,DecisionTreeClassifier,best,,,,4,1,,3,2,1,gini,fail,-inf
FunctionTransformer,,,rebalancing_imputation_normalization_discretization_features_classification,,True,,True,RobustScaler,SimpleImputer,constant,,,FunctionTransformer,,,FunctionTransformer,,,,,,DecisionTreeClassifier,best,,,,4,4,,4,2,2,entropy,success,0.862122023420835
FunctionTransformer,,,features_normalization_rebalancing_discretization_imputation_classification,,,,,MinMaxScaler,SimpleImputer,constant,,,FunctionTransformer,,,FunctionTransformer,,,,,,DecisionTreeClassifier,best,,,,2,2,,3,2,2,gini,success,0.862122023420835
FunctionTransformer,,,rebalancing_features_normalization_imputation_discretization_classification,,False,,False,RobustScaler,SimpleImputer,constant,,,FunctionTransformer,,,FunctionTransformer,,,,,,DecisionTreeClassifier,best,,,,2,2,,4,2,2,gini,success,0.862122023420835
SMOTE,,6,imputation_normalization_discretization_features_rebalancing_classification,,False,,True,RobustScaler,SimpleImputer,constant,,,FunctionTransformer,,,FunctionTransformer,,,,,,MLPClassifier,,25,,100,,,,,,,,success,0.7267950894606242
FunctionTransformer,,,rebalancing_features_normalization_imputation_discretization_classification,,,,,FunctionTransformer,IterativeImputer,,most_frequent,descending,SelectKBest,,1,FunctionTransformer,,,,,,DecisionTreeClassifier,random,,,,3,1,,5,3,1,entropy,fail,-inf
FunctionTransformer,,,discretization_normalization_imputation_features_rebalancing_classification,,False,,False,RobustScaler,SimpleImputer,constant,,,FunctionTransformer,,,FunctionTransformer,,,,,,DecisionTreeClassifier,best,,,,4,3,,5,3,4,gini,success,0.8490575072918027
FunctionTransformer,,,normalization_rebalancing_discretization_imputation_features_classification,,False,,False,RobustScaler,SimpleImputer,constant,,,FunctionTransformer,,,FunctionTransformer,,,,,,DecisionTreeClassifier,best,,,,2,3,,4,2,3,gini,success,0.862122023420835
FunctionTransformer,,,rebalancing_imputation_normalization_features_discretization_classification,,False,,True,RobustScaler,SimpleImputer,most_frequent,,,FunctionTransformer,,,KBinsDiscretizer,,uniform,7,ordinal,,DecisionTreeClassifier,random,,,,2,1,,2,3,1,gini,success,0.5
FunctionTransformer,,,normalization_rebalancing_features_imputation_discretization_classification,,,,,FunctionTransformer,IterativeImputer,,constant,random,SelectKBest,,9,FunctionTransformer,,,,,,MLPClassifier,,200,,200,,,,,,,,fail,-inf
FunctionTransformer,,,features_normalization_imputation_rebalancing_discretization_classification,,False,,True,RobustScaler,SimpleImputer,constant,,,FunctionTransformer,,,FunctionTransformer,,,,,,DecisionTreeClassifier,best,,,,2,3,,5,3,3,gini,success,0.8490575072918027
FunctionTransformer,,,discretization_features_imputation_rebalancing_normalization_classification,True,,True,,StandardScaler,SimpleImputer,constant,,,FunctionTransformer,,,FunctionTransformer,,,,,,GaussianNB,,,,,,,,,,,,success,0.7764072090897218
FunctionTransformer,,,normalization_rebalancing_discretization_features_imputation_classification,,True,,False,RobustScaler,SimpleImputer,constant,,,FunctionTransformer,,,FunctionTransformer,,,,,,DecisionTreeClassifier,best,,,,3,2,,3,2,1,gini,success,0.862122023420835
FunctionTransformer,,,imputation_normalization_rebalancing_features_discretization_classification,,False,,False,RobustScaler,FunctionTransformer,,,,FunctionTransformer,,,KBinsDiscretizer,,uniform,7,ordinal,,DecisionTreeClassifier,best,,,,3,3,,4,2,3,gini,fail,-inf
FunctionTransformer,,,normalization_features_rebalancing_imputation_discretization_classification,,False,,True,RobustScaler,SimpleImputer,constant,,,PCA,3,,Binarizer,5.0,,,,,DecisionTreeClassifier,best,,,,2,3,,2,1,2,gini,fail,-inf
NearMiss,2,,rebalancing_imputation_normalization_discretization_features_classification,,,,,PowerTransformer,SimpleImputer,constant,,,FunctionTransformer,,,FunctionTransformer,,,,,,DecisionTreeClassifier,best,,,,5,5,,3,2,1,entropy,fail,-inf
FunctionTransformer,,,rebalancing_imputation_normalization_discretization_features_classification,,,,,FunctionTransformer,IterativeImputer,,most_frequent,random,FunctionTransformer,,,FunctionTransformer,,,,,,DecisionTreeClassifier,best,,,,2,5,,2,3,2,gini,success,0.862122023420835
FunctionTransformer,,,features_normalization_rebalancing_discretization_imputation_classification,,,,,MinMaxScaler,SimpleImputer,constant,,,FunctionTransformer,,,FunctionTransformer,,,,,,DecisionTreeClassifier,best,,,,3,2,,3,2,4,gini,success,0.862122023420835
FunctionTransformer,,,discretization_imputation_features_rebalancing_normalization_classification,,,,,MinMaxScaler,SimpleImputer,constant,,,FunctionTransformer,,,FunctionTransformer,,,,,,DecisionTreeClassifier,best,,,,2,3,,4,2,3,gini,success,0.862122023420835
FunctionTransformer,,,rebalancing_normalization_discretization_features_imputation_classification,,,,,MinMaxScaler,SimpleImputer,constant,,,FunctionTransformer,,,FunctionTransformer,,,,,,DecisionTreeClassifier,best,,,,3,3,,4,2,4,gini,success,0.862122023420835
FunctionTransformer,,,discretization_imputation_features_rebalancing_normalization_classification,,,,,MinMaxScaler,SimpleImputer,constant,,,FunctionTransformer,,,FunctionTransformer,,,,,distance,KNeighborsClassifier,,,10,,,,euclidean,,,,,success,0.6832453963693352
FunctionTransformer,,,imputation_features_discretization_rebalancing_normalization_classification,,False,,False,RobustScaler,SimpleImputer,constant,,,FunctionTransformer,,,FunctionTransformer,,,,,,DecisionTreeClassifier,best,,,,2,4,,3,2,3,gini,success,0.862122023420835
FunctionTransformer,,,normalization_features_discretization_rebalancing_imputation_classification,,False,,False,RobustScaler,SimpleImputer,constant,,,SelectKBest,,9,FunctionTransformer,,,,,,DecisionTreeClassifier,best,,,,2,3,,4,2,3,gini,fail,-inf
FunctionTransformer,,,imputation_features_normalization_rebalancing_discretization_classification,,False,,False,RobustScaler,SimpleImputer,constant,,,FunctionTransformer,,,FunctionTransformer,,,,,,DecisionTreeClassifier,random,,,,2,4,,4,2,2,gini,success,0.4924524400330851
SMOTE,,5,normalization_discretization_imputation_rebalancing_features_classification,,True,,False,RobustScaler,IterativeImputer,,constant,arabic,FunctionTransformer,,,FunctionTransformer,,,,,,MLPClassifier,,10,,5,,,,,,,,success,0.8436178224718123
FunctionTransformer,,,imputation_features_normalization_discretization_rebalancing_classification,,True,,False,RobustScaler,SimpleImputer,most_frequent,,,FunctionTransformer,,,FunctionTransformer,,,,,,DecisionTreeClassifier,best,,,,4,3,,4,1,3,gini,success,0.617718862914109
FunctionTransformer,,,discretization_features_rebalancing_normalization_imputation_classification,,True,,False,RobustScaler,SimpleImputer,constant,,,FunctionTransformer,,,FunctionTransformer,,,,,,DecisionTreeClassifier,best,,,,4,2,,3,2,3,gini,success,0.862122023420835
FunctionTransformer,,,imputation_discretization_features_rebalancing_normalization_classification,,True,,False,RobustScaler,SimpleImputer,constant,,,FunctionTransformer,,,FunctionTransformer,,,,,,DecisionTreeClassifier,best,,,,4,1,,3,2,3,gini,success,0.862122023420835
FunctionTransformer,,,discretization_features_rebalancing_normalization_imputation_classification,,False,,False,RobustScaler,SimpleImputer,constant,,,FunctionTransformer,,,FunctionTransformer,,,,,,DecisionTreeClassifier,best,,,,2,1,,3,2,3,gini,success,0.862122023420835
FunctionTransformer,,,discretization_rebalancing_imputation_normalization_features_classification,,False,,False,RobustScaler,SimpleImputer,constant,,,FunctionTransformer,,,FunctionTransformer,,,,,,DecisionTreeClassifier,best,,,,2,3,,3,2,3,gini,success,0.862122023420835
FunctionTransformer,,,normalization_imputation_rebalancing_features_discretization_classification,,False,,False,RobustScaler,SimpleImputer,constant,,,FunctionTransformer,,,FunctionTransformer,,,,,,DecisionTreeClassifier,best,,,,2,1,,2,2,3,gini,success,0.862122023420835
FunctionTransformer,,,discretization_rebalancing_imputation_normalization_features_classification,False,,False,,StandardScaler,SimpleImputer,constant,,,FunctionTransformer,,,Binarizer,0.5,,,,,DecisionTreeClassifier,best,,,,2,2,,5,2,3,gini,fail,-inf
FunctionTransformer,,,features_rebalancing_discretization_normalization_imputation_classification,,,,,MinMaxScaler,SimpleImputer,constant,,,FunctionTransformer,,,KBinsDiscretizer,,kmeans,5,ordinal,,GaussianNB,,,,,,,,,,,,fail,-inf
FunctionTransformer,,,normalization_features_rebalancing_discretization_imputation_classification,,,,,MinMaxScaler,FunctionTransformer,,,,PCA,5,,FunctionTransformer,,,,,,DecisionTreeClassifier,best,,,,3,3,,4,2,4,entropy,fail,-inf
FunctionTransformer,,,normalization_features_imputation_discretization_rebalancing_classification,,,,,MinMaxScaler,SimpleImputer,constant,,,FunctionTransformer,,,FunctionTransformer,,,,,distance,KNeighborsClassifier,,,13,,,,manhattan,,,,,success,0.8345853467415438
FunctionTransformer,,,normalization_imputation_discretization_rebalancing_features_classification,,,,,FunctionTransformer,SimpleImputer,constant,,,FunctionTransformer,,,FunctionTransformer,,,,,,DecisionTreeClassifier,best,,,,4,4,,4,2,2,entropy,success,0.862122023420835
FunctionTransformer,,,normalization_imputation_discretization_rebalancing_features_classification,,,,,FunctionTransformer,SimpleImputer,constant,,,FunctionTransformer,,,FunctionTransformer,,,,,,DecisionTreeClassifier,best,,,,3,4,,4,2,4,entropy,success,0.862122023420835
FunctionTransformer,,,normalization_rebalancing_discretization_imputation_features_classification,,,,,FunctionTransformer,SimpleImputer,constant,,,FunctionTransformer,,,FunctionTransformer,,,,,,DecisionTreeClassifier,best,,,,3,3,,4,2,4,entropy,success,0.862122023420835
FunctionTransformer,,,normalization_imputation_rebalancing_discretization_features_classification,,,,,FunctionTransformer,SimpleImputer,constant,,,FunctionTransformer,,,FunctionTransformer,,,,,,DecisionTreeClassifier,best,,,,2,5,,4,2,2,entropy,success,0.862122023420835
FunctionTransformer,,,imputation_normalization_features_rebalancing_discretization_classification,,,,,FunctionTransformer,SimpleImputer,constant,,,FunctionTransformer,,,FunctionTransformer,,,,,,DecisionTreeClassifier,best,,,,2,4,,4,2,2,entropy,success,0.862122023420835
FunctionTransformer,,,features_imputation_normalization_rebalancing_discretization_classification,,,,,FunctionTransformer,SimpleImputer,constant,,,FunctionTransformer,,,FunctionTransformer,,,,,,DecisionTreeClassifier,best,,,,2,5,,4,2,2,gini,success,0.862122023420835
FunctionTransformer,,,rebalancing_features_discretization_imputation_normalization_classification,,False,,True,RobustScaler,SimpleImputer,constant,,,FunctionTransformer,,,FunctionTransformer,,,,,,DecisionTreeClassifier,best,,,,2,4,,4,2,2,gini,success,0.862122023420835
FunctionTransformer,,,features_normalization_rebalancing_discretization_imputation_classification,,False,,True,RobustScaler,SimpleImputer,constant,,,FunctionTransformer,,,FunctionTransformer,,,,,,DecisionTreeClassifier,best,,,,2,5,,4,2,2,gini,success,0.862122023420835
NearMiss,1,,rebalancing_features_discretization_imputation_normalization_classification,,False,,True,RobustScaler,SimpleImputer,most_frequent,,,FunctionTransformer,,,FunctionTransformer,,,,,,DecisionTreeClassifier,random,,,,2,4,,4,2,2,gini,fail,-inf
SMOTE,,7,rebalancing_normalization_discretization_features_imputation_classification,,,,,MinMaxScaler,SimpleImputer,constant,,,SelectKBest,,5,FunctionTransformer,,,,,,DecisionTreeClassifier,best,,,,2,3,,4,2,3,gini,fail,-inf
FunctionTransformer,,,rebalancing_discretization_normalization_imputation_features_classification,,,,,MinMaxScaler,IterativeImputer,,most_frequent,ascending,FunctionTransformer,,,FunctionTransformer,,,,,,MLPClassifier,,100,,25,,,,,,,,success,0.722982456140351
FunctionTransformer,,,imputation_discretization_features_rebalancing_normalization_classification,,False,,False,RobustScaler,SimpleImputer,constant,,,FunctionTransformer,,,FunctionTransformer,,,,,,DecisionTreeClassifier,best,,,,2,1,,2,2,3,gini,success,0.862122023420835
FunctionTransformer,,,rebalancing_normalization_imputation_discretization_features_classification,,False,,False,RobustScaler,SimpleImputer,constant,,,FunctionTransformer,,,FunctionTransformer,,,,,,DecisionTreeClassifier,best,,,,4,3,,2,2,3,gini,success,0.862122023420835
FunctionTransformer,,,features_normalization_rebalancing_discretization_imputation_classification,,False,,False,RobustScaler,SimpleImputer,constant,,,FunctionTransformer,,,FunctionTransformer,,,,,,DecisionTreeClassifier,best,,,,2,2,,4,2,2,gini,success,0.862122023420835
FunctionTransformer,,,rebalancing_features_normalization_imputation_discretization_classification,,False,,False,RobustScaler,SimpleImputer,constant,,,FunctionTransformer,,,FunctionTransformer,,,,,,DecisionTreeClassifier,best,,,,5,3,,4,2,2,gini,success,0.862122023420835
FunctionTransformer,,,features_normalization_imputation_discretization_rebalancing_classification,,False,,False,RobustScaler,SimpleImputer,constant,,,FunctionTransformer,,,FunctionTransformer,,,,,,DecisionTreeClassifier,best,,,,2,2,,3,2,2,gini,success,0.862122023420835
FunctionTransformer,,,rebalancing_features_normalization_imputation_discretization_classification,,False,,False,RobustScaler,SimpleImputer,constant,,,FunctionTransformer,,,FunctionTransformer,,,,,,DecisionTreeClassifier,best,,,,5,2,,3,2,2,gini,success,0.862122023420835
FunctionTransformer,,,rebalancing_discretization_imputation_features_normalization_classification,,,,,PowerTransformer,SimpleImputer,constant,,,FunctionTransformer,,,FunctionTransformer,,,,,,DecisionTreeClassifier,best,,,,2,2,,3,2,2,gini,success,0.862122023420835
FunctionTransformer,,,rebalancing_features_normalization_imputation_discretization_classification,,,,,MinMaxScaler,SimpleImputer,constant,,,FunctionTransformer,,,FunctionTransformer,,,,,,DecisionTreeClassifier,best,,,,5,2,,3,2,2,gini,success,0.862122023420835
FunctionTransformer,,,discretization_imputation_features_rebalancing_normalization_classification,,,,,MinMaxScaler,SimpleImputer,constant,,,FunctionTransformer,,,Binarizer,0.5,,,,,DecisionTreeClassifier,best,,,,4,1,,3,2,3,gini,fail,-inf
FunctionTransformer,,,features_discretization_normalization_imputation_rebalancing_classification,,,,,FunctionTransformer,SimpleImputer,constant,,,FunctionTransformer,,,FunctionTransformer,,,,,,DecisionTreeClassifier,best,,,,2,4,,4,2,4,entropy,success,0.862122023420835
