prototype,normalization__with_std,normalization__with_scaling,normalization__with_mean,normalization__with_centering,normalization__type,imputation__type,imputation__strategy,imputation__initial_strategy,imputation__imputation_order,features__type,features__n_components,features__k,discretization__type,discretization__threshold,discretization__strategy,discretization__n_bins,discretization__encode,classification__weights,classification__type,classification__splitter,classification__n_neighbors,classification__min_samples_split,classification__min_samples_leaf,classification__metric,classification__max_leaf_nodes,classification__max_features,classification__max_depth,classification__criterion,balanced_accuracy__status,balanced_accuracy__balanced_accuracy
normalization_features_imputation_discretization_classification,True,,True,,StandardScaler,IterativeImputer,,constant,ascending,FunctionTransformer,,,FunctionTransformer,,,,,uniform,KNeighborsClassifier,,14,,,euclidean,,,,,success,0.7560709155021549
normalization_imputation_features_discretization_classification,True,,True,,StandardScaler,IterativeImputer,,most_frequent,ascending,FunctionTransformer,,,FunctionTransformer,,,,,distance,KNeighborsClassifier,,12,,,manhattan,,,,,success,0.7953365112533193
normalization_features_discretization_imputation_classification,True,,False,,StandardScaler,IterativeImputer,,most_frequent,ascending,FunctionTransformer,,,Binarizer,0.0,,,,uniform,KNeighborsClassifier,,14,,,manhattan,,,,,fail,-inf
discretization_imputation_normalization_features_classification,True,,False,,StandardScaler,IterativeImputer,,constant,ascending,FunctionTransformer,,,Binarizer,0.0,,,,distance,KNeighborsClassifier,,14,,,manhattan,,,,,fail,-inf
imputation_normalization_discretization_features_classification,True,,False,,StandardScaler,IterativeImputer,,constant,arabic,FunctionTransformer,,,Binarizer,0.0,,,,distance,KNeighborsClassifier,,15,,,manhattan,,,,,success,0.8116466414174394
features_imputation_discretization_normalization_classification,True,,False,,StandardScaler,IterativeImputer,,most_frequent,roman,FunctionTransformer,,,Binarizer,0.5,,,,uniform,KNeighborsClassifier,,13,,,manhattan,,,,,success,0.8160082277654436
features_normalization_discretization_imputation_classification,,False,,False,RobustScaler,IterativeImputer,,constant,random,FunctionTransformer,,,Binarizer,0.0,,,,uniform,KNeighborsClassifier,,3,,,minkowski,,,,,fail,-inf
normalization_discretization_features_imputation_classification,,False,,False,RobustScaler,IterativeImputer,,most_frequent,random,FunctionTransformer,,,Binarizer,0.0,,,,distance,KNeighborsClassifier,,11,,,minkowski,,,,,fail,-inf
discretization_normalization_imputation_features_classification,,False,,False,RobustScaler,IterativeImputer,,constant,arabic,FunctionTransformer,,,Binarizer,0.0,,,,distance,KNeighborsClassifier,,7,,,minkowski,,,,,fail,-inf
imputation_discretization_normalization_features_classification,,False,,False,RobustScaler,IterativeImputer,,most_frequent,arabic,FunctionTransformer,,,Binarizer,0.0,,,,uniform,KNeighborsClassifier,,7,,,minkowski,,,,,success,0.8183766488180749
discretization_features_normalization_imputation_classification,True,,False,,StandardScaler,IterativeImputer,,most_frequent,ascending,FunctionTransformer,,,Binarizer,0.5,,,,distance,KNeighborsClassifier,,12,,,manhattan,,,,,fail,-inf
normalization_features_imputation_discretization_classification,True,,False,,StandardScaler,IterativeImputer,,constant,ascending,FunctionTransformer,,,Binarizer,0.0,,,,uniform,KNeighborsClassifier,,16,,,manhattan,,,,,success,0.8168438465891775
normalization_discretization_features_imputation_classification,,False,,False,RobustScaler,IterativeImputer,,constant,arabic,FunctionTransformer,,,Binarizer,0.0,,,,uniform,KNeighborsClassifier,,7,,,minkowski,,,,,fail,-inf
features_imputation_discretization_normalization_classification,,False,,False,RobustScaler,IterativeImputer,,most_frequent,arabic,FunctionTransformer,,,Binarizer,0.0,,,,distance,KNeighborsClassifier,,7,,,minkowski,,,,,success,0.8059540289930783
normalization_features_imputation_discretization_classification,True,,True,,StandardScaler,IterativeImputer,,most_frequent,ascending,FunctionTransformer,,,FunctionTransformer,,,,,distance,KNeighborsClassifier,,14,,,manhattan,,,,,success,0.7933189673936701
features_discretization_imputation_normalization_classification,True,,True,,StandardScaler,IterativeImputer,,constant,ascending,FunctionTransformer,,,FunctionTransformer,,,,,distance,KNeighborsClassifier,,17,,,manhattan,,,,,fail,-inf
discretization_imputation_features_normalization_classification,True,,False,,StandardScaler,IterativeImputer,,most_frequent,random,FunctionTransformer,,,Binarizer,0.0,,,,distance,KNeighborsClassifier,,13,,,manhattan,,,,,fail,-inf
imputation_features_discretization_normalization_classification,True,,False,,StandardScaler,IterativeImputer,,constant,arabic,FunctionTransformer,,,Binarizer,0.0,,,,uniform,KNeighborsClassifier,,15,,,manhattan,,,,,success,0.8069724870488877
imputation_discretization_normalization_features_classification,,False,,False,RobustScaler,IterativeImputer,,constant,ascending,FunctionTransformer,,,Binarizer,0.0,,,,distance,KNeighborsClassifier,,6,,,euclidean,,,,,success,0.8042475294937095
imputation_features_discretization_normalization_classification,,False,,False,RobustScaler,IterativeImputer,,most_frequent,descending,FunctionTransformer,,,Binarizer,0.0,,,,uniform,KNeighborsClassifier,,8,,,manhattan,,,,,success,0.8055511296852554
normalization_imputation_features_discretization_classification,True,,False,,StandardScaler,IterativeImputer,,most_frequent,ascending,FunctionTransformer,,,Binarizer,0.0,,,,distance,KNeighborsClassifier,,15,,,euclidean,,,,,success,0.7887773714683732
features_normalization_discretization_imputation_classification,,False,,False,RobustScaler,IterativeImputer,,most_frequent,arabic,FunctionTransformer,,,Binarizer,0.0,,,,distance,KNeighborsClassifier,,4,,,minkowski,,,,,fail,-inf
normalization_imputation_discretization_features_classification,,False,,False,RobustScaler,IterativeImputer,,constant,arabic,FunctionTransformer,,,Binarizer,0.0,,,,uniform,KNeighborsClassifier,,10,,,minkowski,,,,,success,0.666445735927909
normalization_imputation_discretization_features_classification,True,,False,,StandardScaler,IterativeImputer,,constant,ascending,FunctionTransformer,,,Binarizer,0.0,,,,uniform,KNeighborsClassifier,,13,,,euclidean,,,,,success,0.7921107048017064
imputation_normalization_discretization_features_classification,,False,,False,RobustScaler,IterativeImputer,,most_frequent,roman,FunctionTransformer,,,Binarizer,0.0,,,,distance,KNeighborsClassifier,,5,,,minkowski,,,,,success,0.679177441121414
imputation_normalization_features_discretization_classification,,,,,MinMaxScaler,FunctionTransformer,,,,FunctionTransformer,,,FunctionTransformer,,,,,,GaussianNB,,,,,,,,,,fail,-inf
discretization_features_imputation_normalization_classification,,False,,False,RobustScaler,IterativeImputer,,constant,random,FunctionTransformer,,,Binarizer,0.0,,,,uniform,KNeighborsClassifier,,9,,,minkowski,,,,,fail,-inf
imputation_features_normalization_discretization_classification,,False,,False,RobustScaler,IterativeImputer,,constant,arabic,FunctionTransformer,,,Binarizer,0.0,,,,distance,KNeighborsClassifier,,6,,,minkowski,,,,,success,0.6771662095685865
normalization_imputation_features_discretization_classification,True,,False,,StandardScaler,IterativeImputer,,constant,ascending,FunctionTransformer,,,Binarizer,0.0,,,,uniform,KNeighborsClassifier,,17,,,manhattan,,,,,success,0.8180906360193287
normalization_discretization_features_imputation_classification,,False,,False,RobustScaler,IterativeImputer,,most_frequent,arabic,FunctionTransformer,,,Binarizer,0.0,,,,uniform,KNeighborsClassifier,,7,,,euclidean,,,,,fail,-inf
imputation_features_discretization_normalization_classification,,False,,False,RobustScaler,IterativeImputer,,constant,arabic,FunctionTransformer,,,Binarizer,0.0,,,,distance,KNeighborsClassifier,,7,,,euclidean,,,,,success,0.8059540289930783
imputation_normalization_features_discretization_classification,,False,,False,RobustScaler,IterativeImputer,,constant,arabic,FunctionTransformer,,,Binarizer,0.0,,,,uniform,KNeighborsClassifier,,7,,,minkowski,,,,,success,0.6687579992164034
imputation_features_normalization_discretization_classification,True,,False,,StandardScaler,IterativeImputer,,most_frequent,ascending,FunctionTransformer,,,Binarizer,0.5,,,,distance,KNeighborsClassifier,,11,,,manhattan,,,,,success,0.7920232031692134
normalization_discretization_features_imputation_classification,,False,,False,RobustScaler,IterativeImputer,,most_frequent,arabic,FunctionTransformer,,,Binarizer,0.5,,,,distance,KNeighborsClassifier,,7,,,minkowski,,,,,fail,-inf
features_discretization_imputation_normalization_classification,,False,,False,RobustScaler,IterativeImputer,,most_frequent,arabic,FunctionTransformer,,,Binarizer,0.0,,,,uniform,KNeighborsClassifier,,5,,,minkowski,,,,,fail,-inf
imputation_features_discretization_normalization_classification,,False,,False,RobustScaler,IterativeImputer,,constant,arabic,FunctionTransformer,,,Binarizer,0.0,,,,distance,KNeighborsClassifier,,9,,,minkowski,,,,,success,0.8023649384005921
normalization_imputation_features_discretization_classification,True,,False,,StandardScaler,IterativeImputer,,constant,roman,FunctionTransformer,,,Binarizer,0.0,,,,uniform,KNeighborsClassifier,,16,,,manhattan,,,,,success,0.8168438465891775
imputation_features_discretization_normalization_classification,,False,,False,RobustScaler,IterativeImputer,,most_frequent,arabic,FunctionTransformer,,,Binarizer,0.0,,,,uniform,KNeighborsClassifier,,10,,,minkowski,,,,,success,0.7981006486439425
normalization_features_imputation_discretization_classification,True,,True,,StandardScaler,IterativeImputer,,most_frequent,ascending,FunctionTransformer,,,FunctionTransformer,,,,,distance,KNeighborsClassifier,,12,,,manhattan,,,,,success,0.7953365112533193
normalization_discretization_features_imputation_classification,True,,True,,StandardScaler,IterativeImputer,,constant,ascending,FunctionTransformer,,,FunctionTransformer,,,,,distance,KNeighborsClassifier,,13,,,manhattan,,,,,fail,-inf
discretization_imputation_features_normalization_classification,True,,False,,StandardScaler,IterativeImputer,,most_frequent,random,FunctionTransformer,,,Binarizer,0.0,,,,distance,KNeighborsClassifier,,12,,,manhattan,,,,,fail,-inf
normalization_discretization_features_imputation_classification,True,,False,,StandardScaler,IterativeImputer,,most_frequent,ascending,FunctionTransformer,,,Binarizer,0.0,,,,distance,KNeighborsClassifier,,12,,,manhattan,,,,,fail,-inf
discretization_imputation_features_normalization_classification,True,,False,,StandardScaler,IterativeImputer,,constant,ascending,FunctionTransformer,,,Binarizer,0.0,,,,uniform,KNeighborsClassifier,,16,,,manhattan,,,,,fail,-inf
features_imputation_normalization_discretization_classification,True,,False,,StandardScaler,IterativeImputer,,most_frequent,ascending,FunctionTransformer,,,Binarizer,0.0,,,,uniform,KNeighborsClassifier,,14,,,manhattan,,,,,success,0.8249882460493666
discretization_features_imputation_normalization_classification,True,,False,,StandardScaler,IterativeImputer,,most_frequent,ascending,FunctionTransformer,,,Binarizer,0.0,,,,distance,KNeighborsClassifier,,13,,,minkowski,,,,,fail,-inf
features_normalization_imputation_discretization_classification,True,,False,,StandardScaler,IterativeImputer,,constant,ascending,FunctionTransformer,,,Binarizer,0.5,,,,uniform,KNeighborsClassifier,,15,,,minkowski,,,,,success,0.7789586870401811
imputation_normalization_features_discretization_classification,True,,False,,StandardScaler,IterativeImputer,,constant,ascending,FunctionTransformer,,,Binarizer,0.5,,,,distance,KNeighborsClassifier,,16,,,manhattan,,,,,success,0.7973200992555831
normalization_discretization_features_imputation_classification,True,,False,,StandardScaler,IterativeImputer,,most_frequent,ascending,FunctionTransformer,,,Binarizer,0.0,,,,uniform,KNeighborsClassifier,,12,,,manhattan,,,,,fail,-inf
features_imputation_normalization_discretization_classification,True,,False,,StandardScaler,IterativeImputer,,most_frequent,ascending,FunctionTransformer,,,Binarizer,0.5,,,,distance,KNeighborsClassifier,,13,,,manhattan,,,,,success,0.8008630447085455
imputation_discretization_normalization_features_classification,True,,False,,StandardScaler,IterativeImputer,,constant,ascending,FunctionTransformer,,,Binarizer,0.0,,,,uniform,KNeighborsClassifier,,15,,,manhattan,,,,,success,0.8030050933786079
normalization_discretization_imputation_features_classification,True,,False,,StandardScaler,IterativeImputer,,constant,ascending,FunctionTransformer,,,Binarizer,0.0,,,,distance,KNeighborsClassifier,,16,,,manhattan,,,,,fail,-inf
normalization_imputation_features_discretization_classification,True,,False,,StandardScaler,IterativeImputer,,most_frequent,ascending,FunctionTransformer,,,Binarizer,0.0,,,,uniform,KNeighborsClassifier,,12,,,manhattan,,,,,success,0.816830133646772
features_imputation_normalization_discretization_classification,True,,False,,StandardScaler,IterativeImputer,,most_frequent,descending,FunctionTransformer,,,Binarizer,0.0,,,,distance,KNeighborsClassifier,,15,,,manhattan,,,,,success,0.8116466414174394
normalization_imputation_features_discretization_classification,True,,False,,StandardScaler,IterativeImputer,,constant,arabic,FunctionTransformer,,,Binarizer,0.0,,,,uniform,KNeighborsClassifier,,13,,,manhattan,,,,,success,0.8174165251839275
normalization_imputation_features_discretization_classification,True,,False,,StandardScaler,IterativeImputer,,constant,ascending,FunctionTransformer,,,Binarizer,0.0,,,,uniform,KNeighborsClassifier,,16,,,manhattan,,,,,success,0.8168438465891775
